597568.667 4063621.951 -88.3783
597666.000 4063621.951 -87.9054
597763.333 4063621.951 -87.0612
597568.667 4063521.853 -88.1668
597666.000 4063521.853 -87.8007
597763.333 4063521.853 -87.0592
597568.667 4063421.755 -88.2365
597666.000 4063421.755 -87.7391
597763.333 4063421.755 -87.0644
597568.667 4063321.657 -88.1876
597666.000 4063321.657 -87.7621
597763.333 4063321.657 -87.0643
597568.667 4063221.559 -88.1958
597666.000 4063221.559 -87.6647
597763.333 4063221.559 -87.0808
597568.667 4063121.461 -88.3235
597666.000 4063121.461 -87.5624
597763.333 4063121.461 -87.1059
597568.667 4063021.363 -88.1716
597666.000 4063021.363 -87.4879
597763.333 4063021.363 -87.0406
597568.667 4062921.265 -88.1147
597666.000 4062921.265 -87.37
597763.333 4062921.265 -86.9901
597568.667 4062821.167 -88.0675
597666.000 4062821.167 -87.4354
597763.333 4062821.167 -86.9279
597568.667 4062721.069 -87.9994
597666.000 4062721.069 -87.3504
597763.333 4062721.069 -86.8453
597568.667 4062620.971 -87.9264
597666.000 4062620.971 -87.3521
597763.333 4062620.971 -86.887
597568.667 4062520.873 -87.9099
597666.000 4062520.873 -87.3672
597763.333 4062520.873 -86.7922
597568.667 4062420.775 -87.7454
597666.000 4062420.775 -87.2778
597763.333 4062420.775 -86.5832
597568.667 4062320.676 -87.7937
597666.000 4062320.676 -87.3058
597763.333 4062320.676 -86.5725
597568.667 4062220.578 -87.6243
597666.000 4062220.578 -87.1747
597763.333 4062220.578 -86.6275
597568.667 4062120.480 -87.6002
597666.000 4062120.480 -87.2211
597763.333 4062120.480 -86.607
597568.667 4062020.382 -87.5798
597666.000 4062020.382 -87.1643
597763.333 4062020.382 -86.6763
597568.667 4061920.284 -87.4841
597666.000 4061920.284 -87.0628
597763.333 4061920.284 -86.6154
597568.667 4061820.186 -87.3506
597666.000 4061820.186 -86.9865
597763.333 4061820.186 -86.6032
597568.667 4061720.088 -87.3526
597666.000 4061720.088 -86.9194
597763.333 4061720.088 -86.5459
597568.667 4061619.990 -87.2453
597666.000 4061619.990 -86.7526
597763.333 4061619.990 -86.5739
597568.667 4061519.892 -87.2102
597666.000 4061519.892 -86.7801
597763.333 4061519.892 -86.4896
597568.667 4061419.794 -87.0994
597666.000 4061419.794 -86.8298
597763.333 4061419.794 -86.4975
597568.667 4061319.696 -86.9396
597666.000 4061319.696 -86.8191
597763.333 4061319.696 -86.4923
597568.667 4061219.598 -86.9546
597666.000 4061219.598 -86.7737
597763.333 4061219.598 -86.5891
597568.667 4061119.500 -86.8421
597666.000 4061119.500 -86.7221
597763.333 4061119.500 -86.2206
597568.667 4061019.402 -86.8936
597666.000 4061019.402 -86.8158
597763.333 4061019.402 -86.2385
597568.667 4060919.304 -87.1
597666.000 4060919.304 -86.768
597763.333 4060919.304 -86.2306
597568.667 4060819.206 -86.6849
597666.000 4060819.206 -86.5895
